;User;Rule Name;Goal;ECA;Environment;Object/service;Functionality;Operator;Value;Next Operator;Context;Class
356;17;agenda allenamenti;health/wellbeing;condizione ;home ;salute;pesare ;minore di ;soglia;/;;user detection
357;17;agenda allenamenti;health/wellbeing;azione;no;cellulare;programma di allenamento;uguale;TRUE;and;;data
358;17;agenda allenamenti;health/wellbeing;azione ;no;cellulare;SMS;uguale;TRUE;and;;notification
359;17;agenda allenamenti;health/wellbeing;azione ;no;cellulare;agenda allenamenti;uguale;TRUE;;;scheduling
360;17;Benessere del neonato;safety/wellbeing;evento;kid room;sensore sonoro;rilevamento sonoro;uguale;TRUE;AND;;kids
361;17;Benessere del neonato;safety/wellbeing;evento;kid room;termostato;rilevamento temperatura;minore di ;TRUE;and;;temperature
362;17;Benessere del neonato;safety/wellbeing;condizione ;kid room;temperatura notte;rilevamento temperatura;minore di ;18°;OR;;temperature
363;17;Benessere del neonato;safety/wellbeing;condizione ;kid room;temperatura giorno;rilevamento temperatura;minore di ;20°;and;;temperature
364;17;Benessere del neonato;safety/wellbeing;condizione ;kid room;neonato che piange;rilevamento pianto;uguale;TRUE;/;;kids
365;17;Benessere del neonato;safety/wellbeing;azione ;kid room;termostato;regolazione termostato;maggiore di ;21°;AND;;temperature
366;17;Benessere del neonato;safety/wellbeing;azione ;kid room;giostra neonato;movimento giostra sonora;uguale ;TRUE;;;kids
367;18;Sveglia;comfort;condizione;no;data e ora;orario;uguale;07:00;/;;scheduling
368;18;Sveglia;comfort;azione;bedroom;sveglia;accensione;uguale;TRUE;;;scheduling
369;18;Chiusura finestre e spegnimento;energy saving;condizione;home;presenza;rivelata presenza;uguale;FALSE;/;;presence
370;18;Chiusura finestre e spegnimento;energy saving;azione;home;luce;accensione;uguale;FALSE;And;;lights
371;18;Chiusura finestre e spegnimento;energy saving;azione;home;tapparella;apri/chiudi;uguale;CHIUDI;;;doors and windows
372;18; Accensione forno pranzo;comfort;evento;kitchen;movimento;rilevato movimento;uguale;TRUE;And;;presence
373;18; Accensione forno pranzo;comfort;condizione;no;data e ora;orario;tra;12:00 -14:00;/;;scheduling
374;18; Accensione forno pranzo;comfort;azione;kitchen;forno;accensione;uguale;TRUE;;;feeding
375;18;Accensione termosifoni sera;comfort/health;condizione;bedroom;data e ora;orario;tra;18:00 - 23:00;And;;scheduling
376;18;Accensione termosifoni sera;comfort/health;condizione;bedroom;termostato;temperatura interna;minore di;17;/;;temperature
377;18;Accensione termosifoni sera;comfort/health;azione;bedroom;termosifone;accensione;uguale;TRUE;And;;temperature
378;18;Accensione termosifoni sera;comfort/health;azione;bedroom;luce;accensione;uguale;TRUE;;;lights
379;18;Doccia mattino;comfort;condizione ;no;data e ora;orario;tra;7:00/8:00;And;;scheduling
380;18;Doccia mattino;comfort;evento;bathroom;movimento;rilevato movimento;uguale;TRUE;/;;presence
381;18;Doccia mattino;comfort;azione;bathroom;rubinetto vasca;apri/chiudi;uguale;APRI;And;;hygiene
382;18;Doccia mattino;comfort;azione;bathroom;luce;accensione;uguale;TRUE;;;lights
383;18;Cena inverno;comfort/health;evento;kitchen;movimento;rilevato movimento;uguale;TRUE;And;;presence
384;18;Cena inverno;comfort/health;condizione;no;data e ora;orario;tra;20:00 - 23:00;And;;scheduling
385;18;Cena inverno;comfort/health;condizione;kitchen;termostato;temperatura interna;minore di;17;/;;temperature
386;18;Cena inverno;comfort/health;azione;kitchen;forno;accensione;uguale;TRUE;And;;feeding
387;18;Cena inverno;comfort/health;azione;kitchen;termosifone;accensione;uguale;TRUE;And;;temperature
388;18;Cena inverno;comfort/health;azione;kitchen;luce;accensione;uguale ;TRUE;;;lights
389;19;Serbatoio Pellet Vuoto;organizing/comfort;condizione;living room;sensore stufa a pellet;rileva peso ;minore;2;;Solo mesi invernali;temperature
390;19;Serbatoio Pellet Vuoto;organizing/comfort;azione;no;telefono;notifica;/;"""Serbatoio da ricaricare""";;Solo mesi invernali;notification
391;19;Pressione Caldaia;safety;condizione;bathroom;caldaia;rileva pressione;NOT;;;;systems
392;19;Pressione Caldaia;safety;azione;bathroom;caldaia;apertura del vaso di espansione;uguale;ON;;;systems
393;19;Pressione Caldaia;safety;azione;living room;quadro elettrico;elettricità bagno;uguale;OFF;;;systems
394;19;Prima lo Studio;organizing;evento;kid room;playstation;acceso / spento;uguale;ACCESO;AND;Periodo Scolastico;device
395;19;Prima lo Studio;organizing;condizione;no;orologio;rileva orario;tra;14:00/18:00;;Periodo Scolastico;scheduling
396;19;Prima lo Studio;organizing;azione;kid room;Alexa;notifica vocale;;"""Sei sicur*? Fossi in te studierei prima...""";;Periodo Scolastico;notification
397;19;Spillatore Birra Personale;comfort;condizione;kitchen;spillatore birra;rileva contenuto;minore;0,5;AND;;feeding
398;19;Spillatore Birra Personale;comfort;condizione;no;riserva birra;quantità;minore;2;;;feeding
399;19;Spillatore Birra Personale;comfort;azione;no;Google Home;"aggiungi a ""lista spesa""";/;"""Ricarica Birra""";AND;;data
